0,1
1,"{'53': 2.3189518451690674, '56': 2.293297529220581, '10': 2.3206779956817627, '47': 2.3361148834228516, '72': 2.349194049835205, '51': 2.3234035968780518, '9': 2.285219430923462, '62': 2.3133139610290527, '96': 2.3210787773132324, '25': 2.2692947387695312}"
101,"{'22': 1.9778404235839844, '48': 2.0099387168884277, '53': 1.8840560913085938, '72': 2.449594020843506, '38': 2.566709280014038, '65': 2.357027769088745, '44': 2.344721555709839, '71': 1.8647079467773438, '75': 2.0780625343322754, '70': 2.2330665588378906}"
201,"{'18': 1.7915061712265015, '63': 2.326214551925659, '5': 2.1883747577667236, '72': 1.6814830303192139, '14': 2.431089401245117, '60': 1.473287582397461, '94': 1.9865682125091553, '45': 1.8897253274917603, '46': 1.3817380666732788, '81': 1.562540888786316}"
301,"{'53': 1.7184562683105469, '83': 1.3405896425247192, '86': 2.4521095752716064, '33': 3.0890052318573, '57': 1.3272013664245605, '28': 1.4873886108398438, '0': 2.361926317214966, '9': 2.9309003353118896, '75': 0.875494658946991, '68': 1.6460565328598022}"
401,"{'88': 1.3794753551483154, '76': 1.7093394994735718, '66': 1.9078868627548218, '9': 1.0641884803771973, '30': 1.5837911367416382, '62': 2.3463292121887207, '54': 1.2037370204925537, '56': 1.9906032085418701, '24': 1.7882349491119385, '26': 1.1158733367919922}"
501,"{'71': 1.8180935382843018, '48': 2.5809547901153564, '82': 2.00783109664917, '12': 1.511300802230835, '25': 2.2318968772888184, '54': 1.8136790990829468, '42': 1.2136057615280151, '20': 1.526696801185608, '76': 2.2355971336364746, '1': 1.4303312301635742}"
601,"{'57': 1.3447881937026978, '40': 1.2280219793319702, '6': 1.9692121744155884, '98': 0.830544650554657, '67': 1.3991081714630127, '82': 1.980151891708374, '56': 1.4177062511444092, '29': 2.2378082275390625, '33': 1.1519436836242676, '71': 1.5986862182617188}"
701,"{'23': 1.314184546470642, '40': 1.3623055219650269, '21': 1.2721408605575562, '38': 1.5593836307525635, '75': 1.279914140701294, '94': 1.7076952457427979, '95': 1.9760754108428955, '80': 1.4101921319961548, '51': 2.419217586517334, '53': 0.9473553895950317}"
801,"{'20': 2.1359848976135254, '78': 1.2581897974014282, '12': 2.003598690032959, '69': 1.543906331062317, '96': 2.194626569747925, '66': 3.1839585304260254, '19': 1.952935814857483, '79': 1.8389228582382202, '3': 1.5122917890548706, '84': 1.4302239418029785}"
