0,1
1,"{'51': 1.8638839721679688, '99': 2.2903952598571777, '88': 2.179631471633911, '25': 1.9463828802108765, '86': 2.195793867111206, '22': 2.2627437114715576, '44': 2.1759867668151855, '6': 2.134443998336792, '11': 2.155885696411133, '38': 1.9792053699493408}"
3,"{'91': 2.202575206756592, '16': 2.0832362174987793, '58': 1.5800304412841797, '11': 1.7555294036865234, '19': 1.9926351308822632, '88': 1.2249701023101807, '61': 1.9326471090316772, '94': 2.0307626724243164, '28': 2.089128017425537, '51': 2.056950092315674}"
5,"{'95': 1.0783567428588867, '7': 1.6077325344085693, '60': 0.9198171496391296, '9': 1.1369677782058716, '18': 1.1373958587646484, '55': 1.4645344018936157, '3': 1.3328046798706055, '32': 0.7571187019348145, '62': 1.1596312522888184, '73': 1.0778896808624268}"
7,"{'59': 1.3109514713287354, '99': 1.456610918045044, '33': 4.373281478881836, '43': 0.5576075911521912, '27': 1.0833451747894287, '1': 0.980948269367218, '86': 1.0006664991378784, '29': 0.7368546724319458, '90': 1.2547640800476074, '92': 0.8277820348739624}"
9,"{'10': 1.2452645301818848, '51': 1.5356825590133667, '19': 0.6838648915290833, '87': 0.7570708990097046, '16': 0.7611724734306335, '34': 0.7388174533843994, '54': 1.0454882383346558, '5': 1.1562299728393555, '76': 1.0456823110580444, '69': 2.2143666744232178}"
11,"{'18': 1.0223166942596436, '53': 0.9567001461982727, '87': 0.7497919797897339, '71': 1.1976699829101562, '94': 0.4549252986907959, '5': 0.6052982807159424, '69': 1.1210875511169434, '57': 0.9114160537719727, '86': 0.8082298040390015, '84': 0.8062372207641602}"
13,"{'90': 1.113844633102417, '47': 0.6520355939865112, '3': 0.18027915060520172, '50': 2.9000282287597656, '44': 0.7475680112838745, '81': 0.382325679063797, '84': 1.1131036281585693, '15': 1.2645869255065918, '39': 0.7725507020950317, '79': 0.6503070592880249}"
15,"{'52': 0.5131993293762207, '14': 1.0872653722763062, '97': 0.5911931395530701, '99': 0.7157493829727173, '66': 0.49602049589157104, '89': 0.5245175957679749, '27': 1.0865890979766846, '68': 0.5877343416213989, '37': 0.5323014259338379, '43': 0.7963487505912781}"
17,"{'3': 0.6663020849227905, '24': 0.7418440580368042, '13': 1.2418246269226074, '79': 0.8951352834701538, '17': 0.32586342096328735, '25': 0.7541784048080444, '53': 0.6345107555389404, '46': 0.5878002643585205, '47': 0.42102742195129395, '0': 1.743096113204956}"
19,"{'88': 0.5749844312667847, '85': 0.20931950211524963, '41': 0.7952415347099304, '55': 0.42274242639541626, '79': 0.8738828897476196, '31': 0.8467339277267456, '96': 0.40376225113868713, '24': 0.7151703238487244, '21': 0.6807007789611816, '12': 0.4437099099159241}"
21,"{'17': 0.6716134548187256, '29': 0.47568783164024353, '13': 0.575787365436554, '75': 1.2302271127700806, '6': 0.5837138891220093, '4': 0.5415388345718384, '31': 0.6118268966674805, '69': 0.854781985282898, '54': 0.6598480939865112, '97': 0.633645236492157}"
23,"{'84': 0.7749953866004944, '96': 0.8575400114059448, '19': 0.9848676919937134, '13': 0.8738799095153809, '53': 0.7907717823982239, '75': 0.37668201327323914, '55': 0.7555620670318604, '54': 0.6557751893997192, '63': 0.7955767512321472, '57': 0.9086888432502747}"
25,"{'59': 0.6722612380981445, '87': 0.8419278860092163, '80': 0.6055797934532166, '51': 0.6297253370285034, '19': 0.5705673098564148, '61': 0.8167020678520203, '44': 0.508089005947113, '58': 0.6783037185668945, '48': 0.4959348142147064, '5': 0.9685167074203491}"
27,"{'90': 1.0053117275238037, '31': 0.6179654002189636, '16': 0.5028804540634155, '47': 0.36419013142585754, '63': 0.5523914694786072, '20': 0.9052743911743164, '49': 1.0658884048461914, '14': 0.9802568554878235, '82': 0.7965304851531982, '30': 0.5965716242790222}"
29,"{'29': 0.2531258463859558, '18': 0.7641583681106567, '85': 0.5855236649513245, '89': 0.4427646994590759, '24': 0.4450032114982605, '72': 0.38032957911491394, '42': 0.4832881987094879, '65': 0.7396407127380371, '52': 0.7214187979698181, '38': 0.7310992479324341}"
31,"{'79': 1.2428003549575806, '32': 0.5148199796676636, '51': 0.6921414732933044, '81': 0.26874780654907227, '23': 0.6893792152404785, '66': 0.12593767046928406, '83': 0.9562644958496094, '57': 0.8752202987670898, '19': 0.9774740934371948, '38': 1.116859793663025}"
33,"{'51': 0.36216750741004944, '76': 0.5680364370346069, '65': 0.20331069827079773, '72': 0.24917161464691162, '19': 0.4515085220336914, '61': 0.391218364238739, '82': 0.7029937505722046, '53': 0.43822383880615234, '34': 0.09127918630838394, '88': 0.6444347500801086}"
35,"{'21': 0.3312225937843323, '88': 0.21853646636009216, '57': 1.116084337234497, '84': 0.6170046925544739, '30': 0.654983639717102, '33': 0.4307210445404053, '47': 0.6116747856140137, '51': 0.4516545236110687, '77': 0.5055994987487793, '34': 0.5674414038658142}"
37,"{'70': 0.4995640218257904, '59': 0.20848074555397034, '95': 0.4701780378818512, '3': 0.21417264640331268, '24': 0.7231081128120422, '66': 0.43005338311195374, '12': 0.8328570127487183, '72': 0.6399177312850952, '82': 0.253783643245697, '27': 0.4441142678260803}"
39,"{'71': 0.5989161729812622, '1': 0.573689877986908, '20': 0.3250580430030823, '90': 0.30349820852279663, '75': 0.4156840443611145, '19': 0.3891006112098694, '7': 0.4857085347175598, '17': 0.8056853413581848, '13': 0.6502771377563477, '56': 0.5157839059829712}"
41,"{'53': 0.5439143180847168, '80': 0.9793006181716919, '75': 0.4402134418487549, '79': 0.27348437905311584, '41': 0.4695127606391907, '1': 0.7736075520515442, '28': 0.6005217432975769, '72': 1.2805742025375366, '30': 0.5379711985588074, '63': 0.5306034088134766}"
43,"{'95': 0.4795340597629547, '18': 0.19638094305992126, '74': 0.3621980547904968, '88': 1.3153612613677979, '37': 0.3990652561187744, '63': 0.8466083407402039, '68': 0.9875389337539673, '65': 0.10215047746896744, '47': 0.2775738537311554, '5': 0.3561277389526367}"
45,"{'72': 0.6365513801574707, '85': 0.2712685465812683, '86': 0.4297489523887634, '59': 0.7550139427185059, '5': 0.662648618221283, '64': 0.8808906674385071, '44': 0.8883026242256165, '15': 0.7260182499885559, '7': 0.30163469910621643, '16': 0.60508131980896}"
47,"{'28': 0.5578020811080933, '79': 0.7498641610145569, '54': 0.6440210938453674, '59': 0.4346054196357727, '20': 0.7371701002120972, '68': 0.7225401401519775, '69': 0.12729093432426453, '30': 0.449395090341568, '6': 0.6914367079734802, '40': 0.7668470740318298}"
49,"{'33': 0.7485048174858093, '2': 0.4602878987789154, '20': 0.16835859417915344, '80': 0.5319056510925293, '11': 0.48030081391334534, '83': 0.17908962070941925, '63': 0.48632392287254333, '39': 0.6102968454360962, '3': 0.7577723860740662, '15': 0.27049535512924194}"
51,"{'6': 0.4871760308742523, '29': 0.6157313585281372, '24': 0.3009244501590729, '3': 0.12990935146808624, '82': 0.3704669177532196, '96': 0.13394351303577423, '65': 0.13679936528205872, '56': 0.4788469672203064, '68': 0.6981684565544128, '77': 0.3591815233230591}"
53,"{'32': 0.3208518624305725, '27': 0.5138596296310425, '91': 0.7468847036361694, '65': 0.35348284244537354, '0': 0.43020495772361755, '52': 0.29521507024765015, '30': 0.5089832544326782, '78': 0.28775638341903687, '22': 0.8999099731445312, '1': 0.4546580910682678}"
55,"{'38': 0.2793484032154083, '23': 0.7117452621459961, '28': 0.24270224571228027, '18': 0.30803290009498596, '35': 0.21731305122375488, '97': 0.32268863916397095, '51': 0.18805836141109467, '47': 0.3524182140827179, '86': 0.3593495190143585, '49': 1.1498686075210571}"
57,"{'86': 0.7584272623062134, '70': 0.7997760772705078, '38': 0.16595575213432312, '65': 0.40219083428382874, '88': 0.3392835855484009, '41': 0.5453423261642456, '62': 1.1201972961425781, '2': 0.16120633482933044, '67': 0.6820933222770691, '21': 1.067383050918579}"
59,"{'34': 0.0528547540307045, '18': 0.7413134574890137, '22': 0.5263088345527649, '15': 0.09652507305145264, '8': 1.3153867721557617, '36': 0.3121458888053894, '54': 0.41653090715408325, '89': 0.4551219344139099, '12': 0.4889797568321228, '65': 0.3385393023490906}"
61,"{'9': 0.05039791017770767, '50': 0.2821769416332245, '47': 0.49424514174461365, '8': 0.9309263229370117, '40': 0.32653898000717163, '19': 0.4579755365848541, '76': 0.4401683211326599, '64': 0.37206655740737915, '67': 0.7455989122390747, '75': 0.1702391803264618}"
63,"{'32': 0.5510491132736206, '33': 0.47527822852134705, '15': 0.4234158992767334, '49': 0.3536709249019623, '61': 0.6725009083747864, '38': 0.15690168738365173, '34': 0.5132300853729248, '89': 0.3120306432247162, '77': 0.7600563168525696, '93': 0.3693777620792389}"
65,"{'73': 0.5544438362121582, '32': 0.34680473804473877, '88': 0.6515295505523682, '9': 0.6345916986465454, '6': 0.07123978435993195, '98': 0.8422690629959106, '55': 0.7598849534988403, '83': 0.698176383972168, '33': 0.3771226108074188, '91': 0.5940412282943726}"
67,"{'9': 1.227366328239441, '49': 0.09578720480203629, '96': 0.1892504096031189, '6': 0.2877176105976105, '80': 0.48210659623146057, '7': 0.4221881031990051, '77': 0.29633572697639465, '59': 0.7758169174194336, '3': 0.5228167772293091, '45': 0.315524697303772}"
69,"{'36': 0.4940319061279297, '68': 0.2794291377067566, '80': 0.5546102523803711, '17': 0.3715957999229431, '29': 0.48671188950538635, '21': 0.29384374618530273, '76': 0.06736444681882858, '33': 0.4662998616695404, '74': 0.025656383484601974, '24': 0.6483076214790344}"
71,"{'3': 1.5398447513580322, '85': 0.32777315378189087, '37': 0.349610835313797, '43': 0.301751047372818, '33': 0.27013638615608215, '52': 0.3273664712905884, '82': 0.3644869923591614, '4': 0.7098140120506287, '61': 0.330783873796463, '78': 0.07941201329231262}"
73,"{'84': 0.2161271572113037, '68': 0.4112001061439514, '25': 0.7437747716903687, '14': 0.6952372789382935, '69': 0.17244625091552734, '10': 0.252573698759079, '78': 0.07560022175312042, '39': 0.35585564374923706, '71': 0.4178399443626404, '89': 0.2149735689163208}"
75,"{'22': 0.34082943201065063, '19': 0.2915796637535095, '33': 0.4389972686767578, '17': 0.2526586651802063, '63': 0.15261319279670715, '85': 0.31645262241363525, '86': 0.5673206448554993, '64': 0.8266769647598267, '73': 0.42578402161598206, '96': 1.4996507167816162}"
77,"{'87': 0.34508222341537476, '92': 0.356353759765625, '13': 0.638144850730896, '84': 0.3587951064109802, '43': 0.132278174161911, '69': 0.6839075088500977, '86': 0.21634872257709503, '62': 0.05572880059480667, '68': 0.20747129619121552, '94': 0.5068750977516174}"
79,"{'80': 0.5290015935897827, '47': 0.366094708442688, '89': 0.4801006317138672, '9': 0.0727204829454422, '0': 0.34578368067741394, '34': 0.7319149971008301, '4': 0.33522099256515503, '83': 0.5677093267440796, '27': 0.2516903281211853, '96': 0.27117279171943665}"
81,"{'88': 0.6342538595199585, '68': 0.9699372053146362, '0': 0.3146982192993164, '84': 0.1382889747619629, '79': 0.36534571647644043, '35': 0.22372658550739288, '61': 0.8695241212844849, '22': 0.639769434928894, '76': 0.7720903158187866, '49': 0.562469482421875}"
83,"{'99': 0.38033896684646606, '71': 0.38009652495384216, '52': 0.09794721007347107, '89': 0.23224759101867676, '45': 0.36536961793899536, '13': 0.4987911581993103, '37': 0.39894968271255493, '76': 0.2926357686519623, '60': 0.8724476099014282, '88': 0.7229176759719849}"
85,"{'32': 0.38611873984336853, '20': 0.22473350167274475, '74': 0.2147543877363205, '4': 0.30097901821136475, '64': 0.4109680652618408, '99': 0.8776836395263672, '43': 0.32453685998916626, '78': 0.25347965955734253, '89': 0.025719469413161278, '18': 0.12012074142694473}"
87,"{'61': 0.15948323905467987, '65': 0.5578876733779907, '1': 0.3255181610584259, '60': 0.4578879475593567, '49': 0.43640995025634766, '31': 0.7496861815452576, '27': 0.21148236095905304, '38': 0.5245519280433655, '42': 0.43224507570266724, '28': 0.14116765558719635}"
89,"{'65': 0.3572111427783966, '23': 0.1657189130783081, '27': 0.35049504041671753, '36': 0.4129679203033447, '13': 0.3832551836967468, '29': 0.184165820479393, '34': 0.28664064407348633, '28': 0.3114439845085144, '60': 0.5329488515853882, '41': 0.2848662734031677}"
91,"{'60': 0.758400559425354, '74': 0.32486262917518616, '37': 0.28311294317245483, '15': 0.6682995557785034, '30': 0.5928084254264832, '57': 0.2904660701751709, '78': 0.16560807824134827, '7': 0.8522025346755981, '83': 0.35352930426597595, '13': 0.4749833643436432}"
93,"{'20': 0.2987847924232483, '29': 0.4072941839694977, '92': 0.23177313804626465, '15': 1.019781470298767, '45': 0.14141589403152466, '41': 0.4552658200263977, '36': 0.22953394055366516, '95': 0.34187233448028564, '66': 0.7300180792808533, '21': 0.3837016224861145}"
95,"{'4': 0.46414774656295776, '35': 0.2897508442401886, '6': 0.09229891747236252, '86': 0.659956693649292, '38': 1.0050510168075562, '10': 0.39677464962005615, '92': 0.10821375995874405, '25': 0.6280874013900757, '19': 0.6590536832809448, '5': 0.30153417587280273}"
97,"{'34': 0.5619226098060608, '4': 0.11894412338733673, '81': 0.31451767683029175, '45': 0.23280608654022217, '41': 0.3023344874382019, '64': 0.2902663052082062, '13': 0.4145834445953369, '89': 0.5755288004875183, '60': 0.10887781530618668, '67': 0.3473663628101349}"
99,"{'98': 0.24320296943187714, '27': 0.12813983857631683, '40': 0.42978668212890625, '25': 0.7360188364982605, '53': 0.18356280028820038, '16': 0.2790396511554718, '76': 0.2911628484725952, '73': 0.22837838530540466, '71': 0.2963954508304596, '48': 0.5954691171646118}"
100,"{'89': 0.08168767392635345, '59': 0.45383700728416443, '81': 0.16109509766101837, '65': 0.3848712742328644, '16': 0.3860485553741455, '5': 0.5516054034233093, '66': 0.5458056926727295, '74': 0.26012784242630005, '13': 0.03374725207686424, '41': 0.3554498553276062}"
