0,1
1,"{'10': 1.902107834815979, '53': 1.8509795665740967, '20': 1.3474613428115845, '44': 1.8227853775024414, '96': 0.9509226083755493, '27': 1.8080289363861084, '81': 1.7896673679351807, '26': 1.7105073928833008, '9': 1.008440613746643, '61': 2.2736868858337402}"
11,"{'42': 0.7245680093765259, '15': 1.4156080484390259, '38': 1.2344701290130615, '68': 0.9676410555839539, '7': 0.0034564081579446793, '60': 1.2974777221679688, '33': 0.9917970895767212, '12': 0.4591446816921234, '0': 0.9959807395935059, '70': 0.40559524297714233}"
21,"{'20': 0.5893728137016296, '52': 0.007470053620636463, '42': 0.041187070310115814, '96': 0.0163078922778368, '58': 0.25526610016822815, '69': 0.35054534673690796, '5': 0.09415386617183685, '51': 0.16184259951114655, '24': 0.9292135238647461, '70': 0.31804656982421875}"
31,"{'70': 0.7165313363075256, '49': 0.8889238238334656, '68': 0.657916784286499, '5': 0.0016685714945197105, '58': 0.6116317510604858, '91': 0.17567560076713562, '41': 0.12922927737236023, '84': 0.5004372596740723, '42': 0.06742317229509354, '22': 0.20481398701667786}"
41,"{'40': 0.21079666912555695, '97': 0.06618835031986237, '83': 0.2929614186286926, '25': 0.2522868514060974, '63': 0.3023143410682678, '79': 0.19542701542377472, '89': 0.9034244418144226, '1': 0.3786974251270294, '98': 0.9156004190444946, '12': 0.1245851069688797}"
51,"{'73': 7.374598499154672e-05, '68': 0.16714055836200714, '56': 0.4168105721473694, '33': 0.23062816262245178, '12': 0.8307499885559082, '3': 0.7920888066291809, '25': 0.3559189438819885, '77': 0.004410749766975641, '50': 0.4671155512332916, '13': 0.003673302009701729}"
61,"{'32': 0.44041186571121216, '19': 0.08833561837673187, '5': 0.09360279142856598, '25': 0.45610395073890686, '96': 0.8425178527832031, '64': 0.28982508182525635, '53': 0.04190929979085922, '81': 0.621013343334198, '83': 0.5145586729049683, '1': 0.4508233666419983}"
71,"{'55': 0.6924501061439514, '28': 1.2459179162979126, '60': 0.5133057832717896, '89': 0.12440340220928192, '49': 0.2066745012998581, '3': 0.2545117735862732, '86': 0.17595019936561584, '24': 0.3149396777153015, '66': 0.0010559725342318416, '91': 0.6874517202377319}"
81,"{'87': 0.03483070805668831, '34': 0.6175605058670044, '71': 0.007023715879768133, '88': 0.3960888087749481, '72': 0.1331895887851715, '39': 0.0026198856066912413, '10': 0.038797058165073395, '29': 0.00014673014811705798, '19': 0.20409660041332245, '77': 0.01156718097627163}"
91,"{'94': 0.6528818011283875, '51': 0.23091824352741241, '30': 0.15196238458156586, '3': 0.23883084952831268, '45': 0.2518446743488312, '17': 0.0029033746104687452, '48': 0.5825714468955994, '29': 0.0007930610445328057, '8': 0.24055936932563782, '44': 0.03982982784509659}"
100,"{'16': 0.35219520330429077, '65': 0.005898164585232735, '84': 0.7735762596130371, '79': 0.005878107156604528, '33': 0.06006288528442383, '0': 0.22565200924873352, '55': 0.4333275258541107, '2': 0.2174450159072876, '26': 0.7246617078781128, '86': 0.6479871273040771}"
