0,1
1,"{'58': 2.4744467735290527, '90': 2.208857774734497, '79': 1.938180685043335, '13': 2.1242752075195312, '59': 1.7099838256835938, '18': 2.31473708152771, '9': 2.28971266746521, '40': 3.2125983238220215, '80': 2.075300455093384, '62': 2.0474910736083984}"
3,"{'85': 1.4746229648590088, '50': 1.757392168045044, '64': 1.9832327365875244, '57': 1.5449028015136719, '71': 2.191694736480713, '13': 1.6379890441894531, '39': 1.4985719919204712, '19': 1.5732845067977905, '92': 0.8468914031982422, '91': 1.8397331237792969}"
5,"{'67': 1.897814393043518, '8': 1.0527129173278809, '12': 0.9434517025947571, '88': 1.2261192798614502, '80': 1.133473515510559, '55': 1.4735199213027954, '50': 1.1320030689239502, '5': 1.772666335105896, '49': 1.3274526596069336, '59': 2.3882546424865723}"
7,"{'19': 0.6721285581588745, '3': 1.590195894241333, '35': 1.0332067012786865, '73': 1.2622547149658203, '16': 0.8410832285881042, '44': 1.1570039987564087, '86': 0.7311550974845886, '30': 1.7122061252593994, '81': 1.1469008922576904, '91': 1.2012778520584106}"
9,"{'95': 0.8229171633720398, '82': 1.1387240886688232, '17': 1.5175548791885376, '23': 0.9553783535957336, '83': 0.5652285814285278, '40': 1.35309636592865, '53': 0.9804700016975403, '26': 0.47747111320495605, '2': 1.2173635959625244, '90': 0.697856605052948}"
11,"{'93': 0.6475903987884521, '65': 0.9797361493110657, '80': 0.5866520404815674, '55': 0.8085892796516418, '84': 1.071428894996643, '61': 1.0486946105957031, '76': 0.5820180177688599, '48': 1.1386971473693848, '24': 1.494679570198059, '51': 0.5744807720184326}"
13,"{'56': 1.2791216373443604, '75': 0.7863033413887024, '91': 0.5473014116287231, '77': 0.5693158507347107, '16': 0.30281293392181396, '68': 0.8008784055709839, '57': 0.6116240620613098, '28': 0.9916172027587891, '49': 1.358270525932312, '80': 0.6496684551239014}"
15,"{'53': 0.6336466073989868, '92': 1.1335936784744263, '9': 0.8993306159973145, '42': 0.6309731602668762, '34': 1.4790388345718384, '94': 0.4149448871612549, '63': 0.37274977564811707, '26': 0.9643087387084961, '89': 0.5668785572052002, '16': 0.9149298667907715}"
17,"{'20': 0.46990662813186646, '94': 0.4175717234611511, '14': 0.7190641164779663, '61': 1.0619332790374756, '80': 0.6469071507453918, '54': 1.4827053546905518, '8': 0.9557276964187622, '6': 0.552342414855957, '91': 0.3032684922218323, '17': 1.0420260429382324}"
19,"{'45': 0.6222444772720337, '78': 0.572248101234436, '49': 1.2728108167648315, '3': 0.4949589669704437, '69': 0.9501697421073914, '28': 0.32884734869003296, '50': 0.9440737962722778, '64': 0.7764965891838074, '93': 0.47249919176101685, '91': 0.6097743511199951}"
21,"{'26': 0.5697304606437683, '23': 0.9567903280258179, '25': 1.0750315189361572, '82': 0.37104031443595886, '9': 0.5952845811843872, '60': 0.6240226030349731, '86': 0.6939977407455444, '32': 0.9545208215713501, '64': 0.42107051610946655, '55': 0.7509803771972656}"
23,"{'94': 0.3538092076778412, '49': 1.6873195171356201, '19': 0.1450420618057251, '46': 0.8143601417541504, '97': 0.5180603265762329, '25': 0.327993780374527, '59': 0.6011841893196106, '14': 0.5986872911453247, '44': 0.5335381031036377, '84': 0.5007259845733643}"
25,"{'71': 1.1876451969146729, '12': 0.37276139855384827, '23': 0.27792221307754517, '37': 0.31296706199645996, '95': 0.25167539715766907, '73': 0.38276129961013794, '40': 0.4553770422935486, '30': 0.9782406687736511, '3': 0.6058723330497742, '47': 0.6527096033096313}"
27,"{'92': 0.7684564590454102, '19': 0.6400723457336426, '28': 1.1034231185913086, '77': 0.3135818541049957, '56': 0.24077776074409485, '40': 0.5891989469528198, '63': 0.4695773124694824, '73': 0.6209383010864258, '65': 0.23882441222667694, '97': 0.4382530152797699}"
29,"{'53': 0.6115750074386597, '70': 0.16079191863536835, '74': 0.43635502457618713, '38': 0.8868231773376465, '33': 0.9916428327560425, '12': 0.24189777672290802, '35': 0.4110114574432373, '57': 0.5813168287277222, '59': 0.5956250429153442, '44': 0.580398440361023}"
31,"{'3': 0.25293466448783875, '1': 1.2104079723358154, '58': 0.4502168595790863, '68': 0.38322213292121887, '20': 0.8057600259780884, '35': 0.717645525932312, '78': 0.3939087986946106, '36': 0.48603421449661255, '84': 0.7400957345962524, '87': 0.3622491955757141}"
33,"{'92': 0.5152751207351685, '20': 0.18183580040931702, '76': 1.122060775756836, '88': 0.8173147439956665, '94': 0.8658415675163269, '12': 0.7261677980422974, '3': 1.1639009714126587, '22': 0.42203694581985474, '19': 0.5991801023483276, '52': 0.4319767951965332}"
35,"{'75': 0.24964003264904022, '9': 0.509684681892395, '80': 0.4969704747200012, '54': 2.351337432861328, '33': 0.4292106032371521, '49': 0.23601830005645752, '35': 0.17392084002494812, '81': 0.591251015663147, '65': 0.556930661201477, '44': 0.7910374999046326}"
37,"{'4': 0.3388849198818207, '61': 0.7875558733940125, '73': 0.5658561587333679, '45': 0.32238081097602844, '88': 0.3731963038444519, '9': 0.29371729493141174, '8': 0.49098557233810425, '95': 0.25212353467941284, '21': 0.43773341178894043, '71': 0.37701648473739624}"
39,"{'90': 0.4759000241756439, '41': 0.3714480400085449, '55': 0.6473895311355591, '38': 0.8472517728805542, '13': 0.491264671087265, '8': 0.9764267206192017, '94': 0.1945275366306305, '70': 0.600800633430481, '3': 0.4687689244747162, '68': 0.6146318316459656}"
41,"{'60': 0.5024763345718384, '31': 0.6524664759635925, '24': 1.3337838649749756, '27': 0.5618914365768433, '77': 0.18977580964565277, '73': 0.5256754755973816, '3': 0.5782487988471985, '22': 1.428154706954956, '18': 1.2244467735290527, '53': 0.5842933058738708}"
43,"{'47': 0.2859310507774353, '79': 0.8010038137435913, '35': 0.6798884868621826, '50': 0.7457948923110962, '99': 0.6658033728599548, '56': 0.4797848165035248, '76': 1.0230971574783325, '37': 0.41671958565711975, '14': 0.4763491749763489, '9': 0.42480993270874023}"
45,"{'46': 0.22140416502952576, '69': 0.6106152534484863, '52': 1.070926547050476, '96': 0.4473907947540283, '84': 0.5305320024490356, '64': 0.4969659447669983, '63': 0.31139418482780457, '85': 0.4453682005405426, '60': 0.21410486102104187, '6': 0.15056923031806946}"
47,"{'60': 0.7998475432395935, '66': 0.9491550326347351, '24': 1.3605939149856567, '13': 0.8010250329971313, '81': 0.139775350689888, '26': 0.7160760760307312, '88': 0.7031252384185791, '72': 0.16872790455818176, '98': 0.48091477155685425, '41': 0.5155510902404785}"
49,"{'22': 0.13296574354171753, '47': 0.42338529229164124, '33': 0.3649780750274658, '0': 0.5476346015930176, '82': 1.1494468450546265, '60': 0.29744067788124084, '2': 0.45435279607772827, '89': 0.280391663312912, '16': 0.26069411635398865, '91': 0.6228512525558472}"
51,"{'73': 0.8517786860466003, '42': 0.399435430765152, '70': 0.5761047005653381, '77': 0.625571608543396, '14': 0.609692394733429, '72': 0.0880763977766037, '48': 0.0788663774728775, '56': 0.4004547595977783, '86': 0.3951977491378784, '75': 0.14415907859802246}"
53,"{'31': 0.17133808135986328, '43': 0.6727407574653625, '89': 0.3035777509212494, '39': 0.3872430920600891, '74': 0.5874135494232178, '92': 0.22612044215202332, '67': 0.5510150790214539, '81': 0.5381786227226257, '30': 0.1127796322107315, '9': 0.2283683568239212}"
55,"{'94': 0.4679644703865051, '59': 1.2668735980987549, '5': 0.4030769467353821, '52': 0.3108016848564148, '76': 0.20023572444915771, '81': 0.3908251225948334, '73': 0.428579717874527, '97': 0.458162397146225, '75': 0.4309724271297455, '99': 0.8044794201850891}"
57,"{'47': 1.3164256811141968, '96': 0.698574960231781, '82': 0.34265539050102234, '40': 0.4781382977962494, '18': 0.6470980644226074, '8': 0.13396716117858887, '77': 0.2827412784099579, '44': 1.3487468957901, '89': 0.5881775617599487, '93': 0.812901496887207}"
59,"{'39': 0.8355742692947388, '58': 0.1347845047712326, '95': 0.5511568784713745, '8': 0.6223703622817993, '6': 0.4763423502445221, '26': 0.726279616355896, '42': 0.45399537682533264, '37': 0.3096277117729187, '96': 0.8998212814331055, '0': 0.8147061467170715}"
61,"{'68': 0.3954038619995117, '31': 0.11255033314228058, '14': 0.17015518248081207, '40': 0.35494810342788696, '69': 0.39356887340545654, '77': 0.32344940304756165, '13': 0.32864904403686523, '42': 0.8562144041061401, '17': 0.1591331660747528, '9': 0.3759459853172302}"
63,"{'85': 0.49976396560668945, '38': 0.47859880328178406, '43': 0.1513734608888626, '15': 0.5989729166030884, '32': 0.5047813653945923, '73': 0.7568825483322144, '24': 0.29080894589424133, '94': 0.45671015977859497, '8': 0.3740236461162567, '84': 0.9036152958869934}"
65,"{'46': 0.5096644163131714, '31': 0.2812367081642151, '9': 0.2083749771118164, '28': 0.6888662576675415, '51': 0.195786252617836, '55': 0.28694480657577515, '61': 1.0842255353927612, '74': 0.7622182369232178, '50': 0.3893425464630127, '85': 0.05290120095014572}"
67,"{'74': 0.683552622795105, '67': 0.2732067108154297, '99': 0.36054834723472595, '17': 0.42976611852645874, '43': 0.7366328239440918, '50': 0.7347701787948608, '83': 0.1506994515657425, '64': 0.8382822275161743, '32': 0.580883264541626, '77': 0.11382292211055756}"
69,"{'66': 0.06420697271823883, '69': 0.388902485370636, '29': 0.4462505280971527, '24': 0.9676846265792847, '5': 0.8816161155700684, '11': 0.8198927640914917, '36': 0.16301611065864563, '67': 0.23286953568458557, '78': 0.8962339162826538, '79': 0.593713641166687}"
71,"{'60': 1.4701368808746338, '43': 1.689759612083435, '42': 0.5632370710372925, '88': 0.25258514285087585, '54': 0.492435097694397, '48': 0.3748445212841034, '64': 0.19881436228752136, '30': 0.5835409164428711, '20': 0.2756081521511078, '35': 0.1489168405532837}"
73,"{'39': 0.6073877811431885, '11': 0.4582119882106781, '89': 0.4457038938999176, '45': 0.47949543595314026, '59': 0.4118265211582184, '54': 0.6539812088012695, '32': 1.1265833377838135, '7': 0.3252904713153839, '75': 0.3894812762737274, '95': 0.11045433580875397}"
75,"{'19': 0.05437931418418884, '93': 0.16367581486701965, '31': 0.11130844056606293, '66': 0.3906922936439514, '94': 0.2926446795463562, '91': 0.7151829600334167, '79': 0.13894633948802948, '5': 0.19700610637664795, '59': 0.3587779402732849, '38': 0.15936538577079773}"
77,"{'96': 0.890972912311554, '82': 0.9879001379013062, '22': 0.19364914298057556, '77': 0.1798490583896637, '43': 1.260026454925537, '62': 0.16682660579681396, '36': 0.43595990538597107, '19': 0.2248971164226532, '10': 0.20603151619434357, '37': 0.345236212015152}"
79,"{'52': 0.23766715824604034, '87': 0.14801833033561707, '21': 0.24820342659950256, '65': 0.1686694324016571, '85': 1.059744954109192, '49': 0.49036702513694763, '15': 0.2984941899776459, '81': 0.4379301965236664, '72': 1.21634840965271, '88': 0.4403897225856781}"
81,"{'68': 0.4372771680355072, '75': 0.41888436675071716, '47': 0.6805383563041687, '23': 0.4516848027706146, '79': 0.6103497743606567, '92': 0.2651155889034271, '97': 0.627129852771759, '16': 0.28482431173324585, '9': 0.5064421892166138, '70': 0.3976026177406311}"
83,"{'89': 0.1676834523677826, '76': 0.38982269167900085, '88': 0.197471484541893, '60': 0.3047582805156708, '69': 0.3431149125099182, '37': 0.3589526414871216, '67': 0.20797529816627502, '71': 0.4114285409450531, '62': 0.17561037838459015, '94': 0.8146041035652161}"
85,"{'18': 0.10115213692188263, '85': 0.3036648631095886, '51': 0.19258341193199158, '81': 0.18745526671409607, '14': 0.4135419726371765, '7': 0.35308676958084106, '8': 0.5343019962310791, '93': 0.1856815665960312, '88': 0.14353537559509277, '45': 0.3599317967891693}"
87,"{'64': 0.6462976336479187, '12': 0.09734626114368439, '99': 0.10806641727685928, '10': 0.4124292731285095, '80': 0.3850604295730591, '76': 0.5891431570053101, '49': 0.2228836715221405, '6': 0.759653627872467, '18': 0.23530276119709015, '22': 0.5109437704086304}"
89,"{'74': 0.14414671063423157, '62': 0.6594806909561157, '30': 0.8416836857795715, '96': 0.3598165512084961, '24': 0.2713102400302887, '11': 0.30192020535469055, '55': 0.4121178090572357, '28': 0.4513211250305176, '90': 0.1777784824371338, '86': 0.3233528435230255}"
91,"{'21': 0.549949049949646, '41': 0.5256022214889526, '15': 0.3112027049064636, '57': 0.34189993143081665, '14': 0.31133168935775757, '55': 0.2759380638599396, '6': 0.26125162839889526, '92': 0.1930771768093109, '35': 0.20667007565498352, '96': 0.44685831665992737}"
93,"{'21': 0.28471583127975464, '1': 0.15160994231700897, '3': 0.48847323656082153, '73': 0.45289602875709534, '76': 0.4668503403663635, '27': 0.10068251937627792, '46': 1.018819808959961, '94': 0.3303966224193573, '43': 0.09193681180477142, '29': 0.1833948791027069}"
95,"{'93': 0.3637537360191345, '45': 0.24900062382221222, '72': 0.3366440236568451, '18': 0.17113444209098816, '78': 0.5752713084220886, '37': 0.32549700140953064, '11': 0.6780368089675903, '88': 0.17125070095062256, '84': 0.341669499874115, '6': 0.5471962690353394}"
97,"{'22': 0.10106977075338364, '32': 0.4244026243686676, '60': 0.13846808671951294, '94': 0.14002618193626404, '88': 0.4486410617828369, '50': 0.42495197057724, '74': 0.11234071105718613, '9': 0.28474730253219604, '65': 0.24078337848186493, '29': 0.10933754593133926}"
99,"{'44': 0.2315869778394699, '56': 0.7003267407417297, '81': 0.6024624109268188, '83': 0.8298595547676086, '20': 0.142044335603714, '37': 0.36374038457870483, '88': 0.291567325592041, '82': 0.7947635054588318, '38': 0.06434844434261322, '7': 0.30318230390548706}"
100,"{'86': 0.47560709714889526, '62': 0.7477236986160278, '79': 0.2105199545621872, '23': 0.3504023253917694, '12': 0.15798959136009216, '51': 0.8415240049362183, '78': 0.7055444121360779, '34': 0.5621854662895203, '65': 0.26991838216781616, '9': 0.27277353405952454}"
