0,1
1,"{'90': 2.206134557723999, '7': 1.950564980506897, '42': 2.270754337310791, '5': 2.2841084003448486, '92': 1.9773921966552734, '38': 2.145320177078247, '61': 2.2052738666534424, '60': 2.0862886905670166, '98': 2.1347460746765137, '59': 2.183269739151001}"
3,"{'34': 1.3081886768341064, '83': 1.7634036540985107, '30': 1.9365485906600952, '14': 1.7080612182617188, '85': 1.6576073169708252, '74': 1.9373409748077393, '43': 1.059625506401062, '23': 1.4719889163970947, '21': 1.9174222946166992, '11': 1.429100751876831}"
5,"{'90': 0.6342614889144897, '79': 0.8284246325492859, '71': 0.778621256351471, '32': 1.3444900512695312, '85': 1.469362497329712, '97': 1.2270259857177734, '63': 1.5011866092681885, '40': 0.8309049606323242, '48': 1.0906760692596436, '59': 0.797981858253479}"
7,"{'48': 0.15060272812843323, '86': 1.4512274265289307, '39': 0.3615255057811737, '68': 0.22026176750659943, '27': 1.2746188640594482, '67': 0.22204847633838654, '59': 0.20533135533332825, '88': 0.3616639971733093, '38': 1.1873490810394287, '40': 0.6667169332504272}"
9,"{'0': 0.28797417879104614, '41': 0.6128449440002441, '74': 0.17797860503196716, '34': 0.8214052319526672, '44': 0.7317835688591003, '45': 0.2349133938550949, '55': 0.6555812358856201, '60': 0.4935236871242523, '47': 0.8408656120300293, '18': 0.6280873417854309}"
11,"{'69': 0.2297491729259491, '43': 0.36521854996681213, '26': 0.45883074402809143, '56': 0.3127747178077698, '48': 0.8690692186355591, '19': 1.0146640539169312, '65': 0.5272250175476074, '29': 0.1498996615409851, '77': 0.29028087854385376, '79': 0.25749582052230835}"
13,"{'83': 0.5132085680961609, '40': 0.08621709048748016, '67': 0.5765241980552673, '95': 0.436836302280426, '33': 0.1837995946407318, '37': 0.1766776740550995, '53': 0.1524812877178192, '52': 0.8824493288993835, '41': 0.12236499786376953, '10': 0.18203674256801605}"
15,"{'14': 0.04240505397319794, '70': 0.43582969903945923, '6': 0.4628109931945801, '10': 0.038881950080394745, '26': 0.10846338421106339, '0': 0.020633190870285034, '72': 0.38614508509635925, '85': 0.2515121400356293, '50': 0.017623621970415115, '71': 0.42246466875076294}"
17,"{'11': 0.08416084945201874, '60': 0.7542492151260376, '58': 0.48284047842025757, '29': 0.03095456399023533, '47': 0.2575576901435852, '59': 0.4927004873752594, '52': 0.8192883729934692, '4': 0.05267695337533951, '8': 0.045356251299381256, '54': 0.34051448106765747}"
19,"{'42': 0.05377170443534851, '51': 0.16174861788749695, '18': 0.10719306766986847, '7': 0.04966966435313225, '53': 1.2524325847625732, '54': 0.12315244972705841, '77': 0.04752541333436966, '24': 0.12381915003061295, '86': 0.2113724648952484, '63': 0.2189723551273346}"
21,"{'13': 0.5852302312850952, '17': 0.30996665358543396, '36': 0.0970383882522583, '83': 0.3620140850543976, '61': 0.3008658289909363, '5': 0.024331290274858475, '44': 0.04745956137776375, '3': 0.186102032661438, '74': 0.3200264871120453, '31': 0.41483110189437866}"
23,"{'14': 0.6718964576721191, '63': 0.09941708296537399, '21': 0.19490808248519897, '34': 0.041416067630052567, '5': 0.0881856232881546, '57': 0.03366757184267044, '46': 0.019208163022994995, '53': 0.15695998072624207, '99': 0.0997869074344635, '78': 0.22379299998283386}"
