0,1
1,"{'7': 0.0003491674433462322, '55': 2.153597116470337, '73': 0.0015379621181637049, '86': 2.0375940799713135, '70': 2.996833324432373, '62': 1.6178165674209595, '68': 1.7745444774627686, '53': 1.5615895986557007, '80': 1.934391975402832, '30': 1.294297456741333}"
3,"{'9': 1.3908684253692627, '8': 0.6247386336326599, '50': 0.8556389808654785, '65': 0.0007742143934592605, '67': 0.32381945848464966, '97': 0.11453120410442352, '28': 1.6759388446807861, '54': 1.645896315574646, '10': 1.3413608074188232, '93': 1.1421306133270264}"
5,"{'72': 0.5488064289093018, '66': 0.022598182782530785, '52': 0.00021080256556160748, '39': 0.5638156533241272, '15': 1.2436093091964722, '20': 0.45792803168296814, '65': 0.0082622729241848, '27': 2.095817804336548, '80': 1.522477149963379, '76': 0.11967706680297852}"
7,"{'44': 1.3250327110290527, '81': 0.8798821568489075, '25': 0.8617922067642212, '3': 0.10402566194534302, '5': 0.025477487593889236, '60': 0.2848079800605774, '11': 0.5109399557113647, '67': 0.019905460998415947, '80': 0.6575454473495483, '93': 0.5662678480148315}"
9,"{'8': 0.8469868898391724, '20': 0.6137864589691162, '7': 0.007572486065328121, '55': 0.6040425300598145, '70': 0.1991070955991745, '37': 0.26390770077705383, '51': 0.4467276632785797, '3': 0.3048219084739685, '91': 0.5462417006492615, '40': 0.2419160157442093}"
11,"{'21': 1.1178512573242188, '93': 0.8866897821426392, '80': 0.02187136933207512, '45': 0.09398066997528076, '64': 0.21519756317138672, '87': 0.09975887089967728, '66': 0.006627735681831837, '60': 1.1915788650512695, '86': 0.3353882431983948, '65': 0.000672851805575192}"
13,"{'18': 0.0007879051263444126, '58': 0.5274993181228638, '86': 0.164757639169693, '36': 0.06437794864177704, '25': 0.3174808919429779, '99': 0.4447924494743347, '53': 0.39190974831581116, '10': 0.009718645364046097, '50': 0.33868828415870667, '19': 0.8562512397766113}"
15,"{'55': 0.2289838343858719, '15': 0.2820124924182892, '65': 0.00449759466573596, '14': 0.5622376203536987, '22': 0.11790336668491364, '46': 0.0977172702550888, '11': 0.1736716479063034, '47': 0.630829930305481, '82': 0.012783450074493885, '79': 0.05202751234173775}"
17,"{'14': 0.20563562214374542, '46': 0.3220929205417633, '96': 0.009604898281395435, '26': 0.3122042119503021, '36': 0.1878591775894165, '90': 0.4474967122077942, '98': 0.03267131745815277, '83': 0.11511361598968506, '28': 0.07475263625383377, '25': 0.3069940209388733}"
