0,1
1,"{'24': 2.056199789047241, '48': 2.2739672660827637, '8': 2.255903959274292, '56': 2.868306875228882, '11': 2.241177558898926, '93': 2.1693472862243652, '77': 2.728372097015381, '52': 2.1908373832702637, '43': 2.351689577102661, '60': 2.1562321186065674}"
3,"{'66': 1.8863099813461304, '87': 1.9548804759979248, '95': 1.8989200592041016, '59': 1.625994324684143, '70': 1.580566644668579, '19': 2.052767753601074, '51': 2.008227586746216, '92': 1.5541388988494873, '29': 2.023015022277832, '5': 1.773011565208435}"
5,"{'39': 1.1161024570465088, '83': 1.35347580909729, '89': 1.2752742767333984, '20': 0.8591831922531128, '42': 3.1951961517333984, '62': 0.6894971132278442, '70': 1.328600287437439, '18': 1.365902066230774, '61': 1.7703101634979248, '66': 0.7957891821861267}"
7,"{'13': 0.21711188554763794, '11': 0.9691450595855713, '4': 0.8932857513427734, '58': 1.2930941581726074, '65': 1.1114879846572876, '93': 1.3182271718978882, '86': 1.7303580045700073, '49': 0.07905762642621994, '45': 0.42400306463241577, '85': 0.9503857493400574}"
9,"{'15': 0.9400655031204224, '41': 0.8563703298568726, '55': 0.34890982508659363, '9': 1.1485629081726074, '92': 0.4565855860710144, '11': 0.37994247674942017, '1': 0.7898896932601929, '38': 0.7020420432090759, '17': 0.5689998865127563, '16': 2.2749111652374268}"
11,"{'7': 0.4512549340724945, '60': 1.71126389503479, '5': 0.4308677613735199, '12': 0.7200877666473389, '48': 0.2252151072025299, '1': 0.5676824450492859, '59': 0.27169448137283325, '64': 0.6420727372169495, '57': 0.6199676990509033, '85': 1.4495644569396973}"
13,"{'38': 0.6941003799438477, '26': 0.6784676909446716, '81': 0.5029445290565491, '28': 0.0783369168639183, '52': 0.14277061820030212, '8': 0.38767579197883606, '63': 0.10508225858211517, '97': 0.03611527010798454, '71': 0.17468158900737762, '48': 0.19987162947654724}"
15,"{'82': 0.013323502615094185, '25': 0.49762535095214844, '5': 0.30834677815437317, '39': 0.1839168518781662, '77': 0.2053300440311432, '43': 0.1040194034576416, '67': 0.257950097322464, '21': 0.019835565239191055, '35': 0.02456790581345558, '20': 0.3218279480934143}"
17,"{'0': 0.1008666530251503, '50': 0.9762957096099854, '89': 1.3069117069244385, '75': 0.028436703607439995, '18': 0.7022854685783386, '45': 0.004095621407032013, '21': 1.7610241174697876, '94': 0.16865597665309906, '90': 0.5835041403770447, '73': 0.8427930474281311}"
19,"{'94': 0.024860132485628128, '59': 0.41969913244247437, '15': 0.008430798538029194, '90': 0.23420803248882294, '73': 0.2753326892852783, '3': 0.06490574777126312, '9': 0.052571386098861694, '19': 0.15440095961093903, '4': 0.1254245489835739, '10': 0.0020973130594938993}"
20,"{'46': 0.03285311907529831, '79': 0.9006069898605347, '81': 0.1978994756937027, '58': 0.5512740015983582, '25': 0.12312211841344833, '93': 0.28452470898628235, '6': 0.05209406092762947, '35': 0.06925327330827713, '78': 0.04301284998655319, '84': 0.08582616597414017}"
