0,1
1,"{'87': 0.5908942222595215, '50': 0.6711177229881287, '16': 0.7271219491958618, '43': 0.8076940178871155, '21': 0.6594241857528687, '62': 0.5956231355667114, '68': 0.6644425392150879, '38': 0.5414966344833374, '39': 0.718880832195282, '57': 0.727258026599884}"
51,"{'7': 0.6326813101768494, '6': 0.6337451338768005, '17': 0.6323086619377136, '3': 0.6348179578781128, '44': 0.6252418756484985, '63': 0.6413677334785461, '37': 0.7470754384994507, '81': 0.8985971808433533, '43': 0.6451141834259033, '62': 0.8932204246520996}"
101,"{'26': 0.8626922369003296, '54': 0.7207488417625427, '14': 0.8546306490898132, '78': 0.6087385416030884, '92': 0.7196871042251587, '65': 0.7265570163726807, '2': 0.6577809453010559, '24': 0.608210563659668, '33': 0.7860555648803711, '37': 0.6580650210380554}"
151,"{'65': 0.733847439289093, '8': 0.5536778569221497, '54': 0.6603869795799255, '56': 0.7474955916404724, '16': 0.6536874175071716, '29': 0.6618080735206604, '72': 0.635783851146698, '55': 0.6597678065299988, '90': 0.7264717221260071, '42': 0.7270382642745972}"
201,"{'20': 0.6900025010108948, '91': 0.6574504971504211, '88': 0.6515598893165588, '65': 0.6198163032531738, '21': 0.7786054611206055, '27': 0.6640293002128601, '41': 0.6560598015785217, '81': 0.6614842414855957, '25': 0.8503056168556213, '60': 0.7351843118667603}"
251,"{'16': 0.9323105216026306, '65': 0.6820916533470154, '17': 0.6853259801864624, '88': 0.5971478223800659, '57': 0.6886146068572998, '11': 0.6661666631698608, '12': 0.9334478974342346, '95': 0.8018530607223511, '46': 0.6206151843070984, '3': 0.80031418800354}"
301,"{'1': 0.7387481331825256, '74': 0.7229383587837219, '56': 0.7749955654144287, '99': 0.7199726700782776, '36': 0.6014652252197266, '89': 0.7212285995483398, '59': 0.5720698833465576, '78': 0.8275408744812012, '63': 0.6145188212394714, '83': 0.613411009311676}"
351,"{'28': 0.7141344547271729, '29': 0.821497917175293, '85': 0.7144314050674438, '8': 0.6777763962745667, '65': 0.6906641125679016, '67': 0.610702633857727, '74': 0.6780883073806763, '12': 0.8833575248718262, '41': 0.6724324822425842, '80': 0.7085943818092346}"
401,"{'37': 0.5738488435745239, '41': 0.6775957345962524, '22': 0.6871246099472046, '47': 0.5836108326911926, '9': 0.7130877375602722, '80': 0.6186609864234924, '16': 0.719658374786377, '18': 0.7142642736434937, '15': 0.6775571703910828, '53': 0.7093587517738342}"
451,"{'28': 0.67917799949646, '64': 0.562752902507782, '21': 0.6696125268936157, '25': 0.6376088857650757, '72': 0.5592828392982483, '41': 0.7335359454154968, '20': 0.6588959097862244, '53': 0.5505768060684204, '70': 0.7541796565055847, '31': 0.9161560535430908}"
500,"{'16': 0.8437730073928833, '97': 0.7382104396820068, '1': 0.6738810539245605, '62': 0.7389315366744995, '38': 0.7235605120658875, '76': 0.7520619034767151, '2': 0.7369608879089355, '92': 0.7048195004463196, '89': 0.8392523527145386, '5': 0.6468679904937744}"
