0,1
1,"{'86': 4.364124298095703, '98': 4.381955146789551, '49': 4.4273362159729, '21': 4.369843482971191, '59': 4.390763759613037, '32': 4.422412395477295, '91': 4.358280658721924, '2': 4.414923191070557, '97': 4.392607688903809, '65': 4.388660430908203}"
51,"{'18': 1.8216346502304077, '37': 2.8424012660980225, '4': 2.7041878700256348, '54': 4.4768595695495605, '65': 3.1557021141052246, '28': 2.7183761596679688, '56': 1.9493441581726074, '11': 4.269743919372559, '66': 4.6523966789245605, '58': 3.5453333854675293}"
101,"{'9': 1.302627444267273, '65': 3.1379153728485107, '4': 4.616903781890869, '0': 3.218505859375, '72': 3.116021156311035, '92': 3.1811866760253906, '94': 1.8507329225540161, '18': 3.5414273738861084, '34': 3.4555134773254395, '41': 3.9844274520874023}"
151,"{'2': 3.5530619621276855, '30': 2.5407402515411377, '0': 2.7212424278259277, '36': 5.176053047180176, '61': 2.8582327365875244, '7': 3.8196005821228027, '92': 3.2666385173797607, '99': 0.7593066096305847, '17': 1.960283637046814, '87': 2.213995933532715}"
201,"{'32': 2.3685972690582275, '54': 4.51713752746582, '69': 2.3098974227905273, '44': 1.4744689464569092, '68': 5.384311676025391, '59': 1.9701049327850342, '13': 1.9381736516952515, '49': 5.608987808227539, '36': 4.158966064453125, '7': 4.770397186279297}"
251,"{'89': 5.052481174468994, '71': 0.579470694065094, '59': 1.1833072900772095, '73': 3.102748155593872, '6': 3.316338300704956, '12': 3.2787201404571533, '43': 1.7531545162200928, '84': 3.4891390800476074, '57': 2.159027576446533, '13': 3.1450295448303223}"
301,"{'50': 4.224782943725586, '67': 0.06904502213001251, '40': 2.7719125747680664, '46': 2.639634132385254, '0': 3.945733070373535, '32': 3.4151041507720947, '30': 3.6569502353668213, '19': 1.7042193412780762, '6': 2.3201794624328613, '3': 5.664889335632324}"
351,"{'88': 1.779012680053711, '80': 2.8642020225524902, '82': 1.426507592201233, '91': 3.3296689987182617, '78': 2.2728922367095947, '1': 3.331225633621216, '99': 2.4823079109191895, '2': 0.7652068138122559, '75': 1.7948617935180664, '94': 3.7084765434265137}"
401,"{'57': 3.8410587310791016, '11': 3.419834613800049, '93': 4.21458625793457, '98': 1.986976981163025, '89': 0.8316277861595154, '25': 4.372228622436523, '97': 2.5256710052490234, '74': 1.9795725345611572, '75': 4.206626892089844, '32': 3.6547598838806152}"
451,"{'45': 1.1911104917526245, '26': 2.042072296142578, '13': 0.24351540207862854, '15': 2.8723833560943604, '88': 7.227208137512207, '7': 2.742727041244507, '69': 1.0185593366622925, '6': 2.927332878112793, '67': 5.332596778869629, '33': 3.8975205421447754}"
500,"{'94': 4.594915866851807, '31': 1.9676989316940308, '89': 0.4285954236984253, '97': 2.7929329872131348, '80': 4.505070209503174, '23': 3.4629979133605957, '65': 2.088021993637085, '17': 4.485849380493164, '73': 1.2884293794631958, '92': 1.1465048789978027}"
